"Work_Title","Page_Title","Page_Position","Page_URL","Subject","Text","Category","Category","Category"
"Geek Weekly #1","GW#1 - p9 (eight)","9","http://localhost:3000/display/display_page?page_id=2764","Carole Feray","my mom","Actors/Actresses","People"
"Geek Weekly #1","GW#1 - p9 (eight)","9","http://localhost:3000/display/display_page?page_id=2764","Blackout Records","Blackout","Record Labels","Record Stores"
"Geek Weekly #1","GW#1 - p9 (eight)","9","http://localhost:3000/display/display_page?page_id=2764","Ajax Records","Ajax Records","Record Labels","Record Stores"
"Geek Weekly #1","GW#1 - p9 (eight)","9","http://localhost:3000/display/display_page?page_id=2764","Lake Michigan","Lake Michigan","Places"
"Geek Weekly #1","GW#1 - p9 (eight)","9","http://localhost:3000/display/display_page?page_id=2764","Southern Culture on the Skids","Southern Culture on the Skids","Bands"
"Geek Weekly #1","GW#1 - p9 (eight)","9","http://localhost:3000/display/display_page?page_id=2764","CHICAGO","Chicago","Places"
"Geek Weekly #1","GW#1 - p9 (eight)","9","http://localhost:3000/display/display_page?page_id=2764","[Nuclear War (card game)","Nuclear War"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","The Satans","SATANS","Bands"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","Brock Satan","Brock","Musicians"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","Hunter Satan","Hunter","Musicians"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","Heath Satan","Heath","Musicians"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","Sean Vylent","Sean Vylent","Musicians","People"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","The Satans","the Satans","Bands"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","Emo's","Emo's","Venues"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","0902199x","9/2","Dates"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","Hunter Satan","Hunter","Musicians"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","Pork","Pork","Bands"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","punk house","Todd-n-Brock's","Places"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","Susan Shepard","Susan","Actors/Actresses","People","Writers"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","The Satans","The Satans","Bands"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","Brentwood Tavern","shed","Places","Venues"
"Geek Weekly #1","GW#1 - p10 (SATANS)","10","http://localhost:3000/display/display_page?page_id=2765","punk house","T&amp;B's","Places"
"Geek Weekly #2 [November Food'n'Fun issue] ","GW#2 - p1 (front cover)","1","http://localhost:3000/display/display_page?page_id=3701","Geek Weekly","GEEK  WEEKLY","Publications"
"Geek Weekly #2 [November Food'n'Fun issue] ","GW#2 - p2 (inside front cover)","2","http://localhost:3000/display/display_page?page_id=3702","Chepo Pena","CHEPO","People"
"Geek Weekly #2 [November Food'n'Fun issue] ","GW#2 - p2 (inside front cover)","2","http://localhost:3000/display/display_page?page_id=3702","Jennifer LaSuprema","JENNIFER","People"
"Geek Weekly #2 [November Food'n'Fun issue] ","GW#2 - p2 (inside front cover)","2","http://localhost:3000/display/display_page?page_id=3702","2715-A Hemphill Park Austin, TX 78705","2715-A HEMPHILL PK  AUSTIN, TX 78705","Places"
"Geek Weekly #2 [November Food'n'Fun issue] ","GW#2 - p3 (2)","3","http://localhost:3000/display/display_page?page_id=3703","National Rifle Association","NRA","Organizations"
"Geek Weekly #2 [November Food'n'Fun issue] ","GW#2 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=3704","Jennifer LaSuprema","Jennifer LaSuprema","People"
"Geek Weekly #2 [November Food'n'Fun issue] ","GW#2 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=3704","Jennifer McClure","Jennifer","People"
"Geek Weekly #2 [November Food'n'Fun issue] ","GW#2 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=3704","Geek Weekly","Geek Weekly","Publications"
"Geek Weekly #2 [November Food'n'Fun issue] ","GW#2 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=3704","Sound Exchange","Sound Exchange","Places"
"Geek Weekly #2 [November Food'n'Fun issue] ","GW#2 - p4 (3)","4","http://localhost:3000/display/display_page?page_id=3704","Austin, TX","Austin","Places"
